"","variable","mean","sd","sem","n","NYHAClass.r","PureNYHAClass.r","ExplicitNYHAClass.r","NYHAClass.r2","PureNYHAClass.r2","ExplicitNYHAClass.r2","NYHAClass.p","PureNYHAClass.p","ExplicitNYHAClass.p"
"123","StepData.TotalMETClassModerate",2.52,8.33541742646818,1.17880603725523,50,-0.131169129897221,-0.101140939189119,-0.17443143613377,0.0172053406379941,0.010229489580057,0.0304263259116893,0.363889816009744,0.55142163345562,0.225690786912627
"124","StepData.TotalMETClassNegligible",308.98,293.313476523333,41.4807896526101,50,-0.204821503099861,-0.191293479751419,-0.238912529519979,0.0419518481320865,0.0365931953954065,0.0570791967616347,0.153622406865713,0.256724207224272,0.0947350218838574
"125","StepData.TotalMETClassSedentary",103.16,68.4016827576751,9.67345874450461,50,-0.326388028859403,-0.368978998148389,-0.338137930306615,0.106529145382726,0.136145501074589,0.114337259912041,0.0207068370567436,0.0246184243585448,0.0163174543012985
"126","StepData.TotalMETClassVeryLight",50.24,37.8458527639234,5.35221182583158,50,-0.25231755480974,-0.27472622034357,-0.198355439966621,0.0636641484651661,0.0754744961442637,0.0393448805643519,0.077102083960487,0.0998513703357276,0.167317622151127
"127","StepData.TotalMETClassVigorous",0.08,0.565685424949238,0.08,50,-0.0935219529582825,-0.108407272597999,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"128","TestEnd.Reason",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","TestEnd.Symptom",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","TotalRiskScore",9.6,3.64691650576209,1.63095064303001,5,0.475594865605671,0.475594865605671,0.475594865605671,0.226190476190476,0.226190476190476,0.226190476190476,0.418126956139655,0.418126956139655,0.418126956139655
"131","VCO2.Peak",1.36916326530612,0.513840294049733,0.073405756292819,49,-0.205348086975875,-0.261695680217932,-0.247456057798314,0.0421678368246517,0.0684846290447261,0.0612345005410827,0.156932408952415,0.117675782157503,0.0864829360315433
"132","VE.Peak",45.4575,14.3190000988123,2.06676964039389,48,-0.0839435379155268,-0.107091591590405,-0.123723793376625,0.00704651755777549,0.0114686089893661,0.0153075770475018,0.570544077916443,0.534162333979572,0.402134975409124
"133","VEperVCO2.atAT",34.2083333333333,5.76843329640167,0.832601629119976,48,0.392730041923935,0.471452077168884,0.429518772306281,0.154236885829575,0.222267061066855,0.184486375763495,0.00576092143137652,0.00322449741571873,0.00231488389842371
"134","VEperVCO2.Peak",34.5102040816327,7.20856680444523,1.02979525777789,49,0.312475862271409,0.293197486622916,0.298641216357127,0.0976411645022608,0.085964766161995,0.0891865761072643,0.0288211278427104,0.0782089281653164,0.0371283488775802
"135","VO2",1.24802,0.435792147141506,0.0616303164863209,50,-0.0906736935277784,-0.137582871543591,-0.114387994585974,0.00822171869796948,0.0189290465421802,0.0130846133054008,0.531160710233177,0.41677309141749,0.428950631002593
"136","VO2.Peak.Measured.Percentage",65.0434782608696,6.89913528152987,1.01722200168603,46,-0.045756705020987,-0.115199127936328,0.0303873307437935,0.00209367605437762,0.0132708390772904,0.000923389869732696,0.762686665190099,0.503473711131364,0.841112073527788
"137","VO2.Peak.Predicted.Percentage",32.5434782608696,8.72214683496145,1.28601039121696,46,-0.320975818137634,-0.283982206399729,-0.351471126231334,0.103025475829124,0.0806458935516582,0.123531952574322,0.0296328765252167,0.0932462266787564,0.0166130651083698
"138","VO2.perBodyWeight",14.306,3.66207312759272,0.517895348344368,50,-0.257508211542828,-0.287187304708918,-0.340681911268295,0.0663104790119857,0.0824765479859731,0.116064164665418,0.0710144981938914,0.0848070932377596,0.0154793667582811
"139","VO2.Predicted.Absolute",2.346,0.643243344310689,0.0909683461430403,50,0.000479766642990088,8.58882745288255e-06,-0.0193017753387341,2.30176031725978e-07,7.3767957015389e-11,0.000372558531226965,0.997361675708321,0.99995974625606,0.894158262557492
"140","VO2.Predicted.Absolute.Percentage",55.5295846645367,15.9113462261635,2.25020416286544,50,-0.210422674814312,-0.196613764932221,-0.265307184102668,0.0442777020760097,0.0386569725608226,0.0703879019364869,0.142441861779858,0.24347943218902,0.0625919572266145
"141","VO2.Predicted.Relative",29.486,5.40717625956847,0.764690200042355,50,0.00171220625207729,-0.0283676380083177,-0.0471118747327817,2.93165024965257e-06,0.000804722886170949,0.00221952874083732,0.990584460477405,0.867634032129242,0.745267438050268
"142","VO2.Predicted.Relative.Percentage",49.12,13.3914989787536,1.89384394762588,50,-0.26271266455812,-0.285175410470715,-0.286249461068735,0.0690179441192272,0.081325014737141,0.0819387539621413,0.0653001890611959,0.0871094296815644,0.0438751473465766
"143","Watts",90.4081632653061,32.6572595090197,4.66532278700281,49,-0.268682823536181,-0.337201947768039,-0.29487853081066,0.0721904596633744,0.11370515357856,0.0869533479330533,0.0619414086627694,0.04431040056823,0.0397010481098032
"144","Watts.Predicted.Percentage",58.6122448979592,20.9153216631279,2.98790309473256,49,-0.340507206548869,-0.314984840615456,-0.397162847512248,0.115945157711714,0.0992154498175442,0.157738327444037,0.0166637557170763,0.0613232088230786,0.00471902246203237
"145","Weight",87.706,20.0076047786733,2.82950260286006,50,0.166826660660302,0.169988296048691,0.221879894311747,0.0278311347070674,0.0288960207935374,0.049230687499792,0.246887465430617,0.314485932813439,0.12147336686391
"146","WristbandPreference",0.36734693877551,0.487077917749495,0.0695825596784993,49,-0.200804832225625,-0.142111942481285,-0.277278528908788,0.0403225806451613,0.0201958041958042,0.0768833825938215,0.166516114854917,0.408357335180175,0.0537493065237247
